split,task,seed,layer,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,move_near,98,4,0.15773722738571042,0.06843361115320708,0.9284616091852708,0.9864827192707241,-0.05802111008545319,0.9555555555555556,0.967612293144208,-0.01205673758865248
exploration,move_near,98,5,0.1216236405958856,0.03232002436338224,0.8905657358822984,0.9767302599504938,-0.08616452406819541,0.9708956996911381,0.9448087431693989,0.02608695652173913
exploration,move_near,98,6,0.2887682103390204,0.19946459410651707,0.9910426902513015,0.998955304866103,-0.007912614614801453,0.9412186379928316,0.9816425120772947,-0.04042387408446313
exploration,move_near,98,7,0.2818202930701407,0.1925166768376374,0.8220602064845655,0.9041912932344713,-0.08213108674990588,0.9412186379928316,0.9344086021505377,0.006810035842293931
exploration,move_near,98,8,0.2575481658195597,0.16824454958705637,0.9750565576050021,0.9717978884881573,0.0032586691168447293,0.9816425120772947,0.9304718256066749,0.051170686470619765
exploration,move_near,98,9,0.4223044949955372,0.3330008787630338,0.9521187940605859,0.9560241566398608,-0.003905362579274948,0.9708956996911381,0.9708956996911381,0.0
exploration,move_near,98,10,0.39948576761118276,0.3101821513786795,0.9456014382866846,0.9268661777368731,0.018735260549811523,0.9271622253389434,0.9170922475270301,0.010069977811913286
exploration,move_near,98,11,0.5573787419631983,0.4680751257306948,0.9616430091083924,0.9188273609866274,0.042815648121764936,0.8624959270120561,0.8386926913242703,0.02380323568778579
exploration,move_near,98,12,0.3870730781343578,0.29776946190185444,0.891612021214701,0.8866046308739196,0.005007390340781311,0.8979797979797981,0.8145161290322581,0.08346366894753991
exploration,move_near,98,13,0.38336609639201463,0.29406248015951125,0.9563183100194766,0.9323753370290456,0.023942972990430984,0.9181504485852313,0.8273930111237263,0.09075743746150478
exploration,move_near,98,14,0.4940166847657595,0.4047130685332562,0.9886492540037191,0.6590409287940197,0.32960832520969935,0.9100017067759003,0.7861333927510398,0.1238683140248605
exploration,move_near,98,15,0.2903315961239548,0.2010279798914514,0.8752437950392498,0.8387299507133569,0.03651384432589285,0.9708956996911381,0.8631480074299223,0.10774769226121572
exploration,move_near,98,16,0.2901752613108857,0.2008716450783824,0.9919957946816053,0.8094648313687349,0.18253096331287044,0.9412186379928316,0.8630127585897457,0.07820587940308595
exploration,move_near,98,17,0.23135947692831962,0.1420558606958163,0.9905124392656234,0.9367930958316045,0.053719343434019,0.9708956996911381,0.9271622253389434,0.04373347435219462
exploration,move_near,98,18,0.15419113587692979,0.06488751964442646,0.9664487877390936,0.9831027604515885,-0.016653972712494986,0.9200716845878136,0.9708956996911381,-0.050824015103324426
exploration,move_near,98,19,0.17996149125198177,0.0906578750194784,0.9255137545162498,0.9592813448204861,-0.033767590304236185,0.9304718256066749,0.9412186379928316,-0.010746812386156638
exploration,move_near,98,20,0.2351955924423534,0.14589197620985006,0.9214044431326744,0.8845157181799149,0.036888724952759556,0.9448087431693989,0.9074036361990746,0.03740510697032436
exploration,move_near,98,21,0.2762290951725163,0.186925478940013,0.9868534788887517,0.9507281308686618,0.03612534802008993,0.9483091787439614,0.9073369565217391,0.04097222222222222
exploration,move_near,98,22,0.1329188868694557,0.04361527063695234,0.9993945387890845,0.9355215487994456,0.06387298998963875,0.9888888888888889,0.9375623663578048,0.05132652253108416
exploration,move_near,98,23,0.13369676356426932,0.04439314733176602,0.9740594712631735,0.9894987557505918,-0.015439284487418234,0.9375623663578048,0.9638051589400082,-0.026242792582203522
exploration,move_near,98,24,0.17174991353096622,0.08244629729846287,0.958678658621098,0.9760345777602261,-0.017355919139128113,0.9483091787439614,0.9464653397391901,0.0018438390047712527
exploration,move_near,98,25,0.1626475814455671,0.07334396521306376,1.0,0.9885026227384213,0.01149737726157877,1.0,0.9523297491039426,0.04767025089605733
exploration,move_near,98,26,0.19136591191165775,0.10206229567915441,0.9623365989443936,0.9458828667654643,0.016453732178929315,0.9319444444444445,0.8906746031746032,0.04126984126984127
exploration,move_near,98,27,0.19606129862733465,0.10675768239483134,0.9341318940252745,0.933795219013863,0.00033667501141150985,0.9453900709219858,0.9221710189452125,0.02321905197677332
exploration,move_near,98,28,0.24391701019878406,0.1546133939662807,0.9851021020601379,0.999066811762218,-0.013964709702080155,0.9453900709219858,0.9745519713261649,-0.02916190040417906
